CustomerName,CustomerAdress,CustomerPESEL,Telephonenumber,ContractValue,ContractItem,ConStartDate,ConEndDate,ConTypeName
Krystyna Policka,Kwiatowa 33 kraków,70414906944,300368110,3303,ZTE 130,2016-02-27,2018-05-03,internet+telefon
Liliana Ciupała,Kwiatowa 33 warszawa,48380788862,211930220,7602,ZTE 130,2017-02-05,2019-01-05,telefon
Michał Dertucha,Kwiatowa 36 warszawa,39209607828,490041541,6213,Nokia 3317,2017-03-27,2018-03-05,internet
Michał Dindo,Kwiatowa 35 warszawa,26895318065,227820726,5092,Nokia 3318,2017-01-03,2018-07-05,internet+telefon
Michał Fądecki,Kwiatowa 35 warszawa,10828677925,899539407,4958,ZTE 131,2017-08-02,2018-08-05,telefon
Michał Kureka,Kwiatowa 37 warszawa,60671400030,667660122,8081,ZTE 131,2016-01-03,2018-04-04,internet
Michał Likary,Kwiatowa 35 kraków,8484861199,757363802,6351,Nokia 3318,2016-09-28,2018-05-04,internet+telefon
Mateusz Likian,Kwiatowa 37 kraków,50826745496,865829038,3530,Nokia 3319,2016-02-28,2019-01-06,telefon
Marek Linda,Kwiatowa 35 kraków,94835639297,632196213,9869,ZTE 132,2017-02-06,2018-03-06,internet
Michał Lindak,Kwiatowa 37 kraków,15461081535,572643416,8918,ZTE 132,2017-03-28,2018-07-06,internet+telefon
Franciszek Lindarek,Kwiatowa 35 kraków,91868583108,10659669,4011,Nokia 3319,2017-01-04,2018-08-06,telefon
Michał Lipecki,Kwiatowa 35 kraków,32735490795,277637052,2642,Nokia 3320,2017-08-03,2018-04-05,internet
Krzysztof Policki,Kwiatowa 33 kraków,89226775587,985109954,2644,ZTE 133,2016-01-04,2018-05-05,internet+telefon
Krystyna Polkowiak,Kwiatowa 33 kraków,22456971276,628508606,3670,ZTE 133,2016-09-29,2019-01-07,telefon
Marek Sawek,Kwiatowa 42 kraków,73223325002,917155736,7021,Nokia 3320,2016-02-29,2018-03-07,internet
Michał Szerka,Kwiatowa 35 kraków,98533586179,137751789,5243,Nokia 3321,2017-02-07,2018-07-07,internet+telefon
Michał Wertyk,Kwiatowa 49 kraków,31008909578,753833013,6663,ZTE 134,2017-03-29,2018-08-07,telefon
Rafał Bobek,Kwiatowa 32 Radom,22477022171,674441823,2470,ZTE 134,2017-01-05,2018-04-06,internet
Robert Bobekowski,Kwiatowa 29 Radom,64190092570,66454883,156,Nokia 3321,2017-08-04,2018-05-06,internet+telefon
Rafał Bobikowski,Kwiatowa 31 warszawa,93359943235,466399296,8694,Nokia 3322,2016-01-05,2019-01-08,telefon
Rafał Brobek,Kwiatowa 26 warszawa,7181672285,347809183,2586,ZTE 135,2016-09-30,2018-03-08,internet
Robert Dido,Kwiatowa 47 warszawa,77143056885,134456084,9178,ZTE 135,2016-03-01,2018-07-08,internet+telefon
Rafał Dobek,Kwiatowa 29 warszawa,97889645417,721091252,8685,Nokia 3322,2017-02-08,2018-08-08,telefon
Andrzej Drozda,Kwiatowa 29 warszawa,61974877809,330376672,9435,Nokia 3323,2017-03-30,2018-04-07,internet
Robert Dwernik,Kwiatowa 47 warszawa,38349629318,507391372,9579,ZTE 136,2017-01-06,2018-05-07,internet+telefon
Rafał Forbek,Kwiatowa 27 warszawa,67150074283,984196652,6697,ZTE 136,2017-08-05,2019-01-09,telefon
Rafał Fraczyński,Kwiatowa 29 warszawa,21527600815,770736144,2580,Nokia 3323,2016-01-06,2018-03-09,internet
Rafał Grater,Kwiatowa 31 warszawa,68801974722,653003055,2927,Nokia 3324,2016-10-01,2018-07-09,internet+telefon
Pelagia Greczyn,Kwiatowa 43 warszawa,62247903443,585668697,3992,ZTE 137,2016-03-02,2018-08-09,telefon
Robert Jawlik,Kwiatowa 46 warszawa,37821773386,74779942,8071,ZTE 137,2017-02-09,2018-04-08,internet
Rafał Kobek,Kwiatowa 33 warszawa,61431288819,926091802,4487,Nokia 3324,2017-03-31,2018-05-08,internet+telefon
Robert Liczak,Kwiatowa 47 kraków,35207655075,616972834,863,Nokia 3325,2017-01-07,2019-01-10,telefon
Robert Moczydło,Kwiatowa 48 kraków,41940670424,588922802,4863,ZTE 138,2017-08-06,2018-03-10,internet
Robert Palancik,Kwiatowa 48 kraków,65022503076,317779362,5407,ZTE 138,2016-01-07,2018-07-10,internet+telefon
Paweł Palek,Kwiatowa 33 kraków,2791222543,932392055,7928,Nokia 3325,2016-10-02,2018-08-10,telefon
Paweł Policzewski,Kwiatowa 39 kraków,91003911127,133963567,2710,Nokia 3326,2016-03-03,2018-04-09,internet
Andrzej Robek,Kwiatowa 29 kraków,62950910770,406704113,3000,ZTE 139,2017-02-10,2018-05-09,internet+telefon
Robert Sulik,Kwiatowa 46 kraków,10335597844,611409287,1140,ZTE 139,2017-04-01,2019-01-11,telefon
Rafał Wobek,Kwiatowa 34 kraków,85024317419,814132018,7505,Nokia 3326,2017-01-08,2018-03-11,internet
Stefan Janicki,Kwiatowa 57 warszawa,15736869112,431216516,2396,Nokia 3327,2017-08-07,2018-07-11,internet+telefon
Tadeusz Komasa,Kwiatowa 43 warszawa,31489329352,33961418,1203,ZTE 140,2016-01-08,2018-08-11,telefon
Michał Komor,Kwiatowa 43 warszawa,88528204120,818417894,5164,ZTE 140,2016-10-03,2018-04-10,internet
Robert Sulikowski,Kwiatowa 47 kraków,97320939180,877752088,4394,Nokia 3327,2016-03-04,2018-05-10,internet+telefon
Robert Surma,Kwiatowa 47 kraków,3201315418,580368283,1125,Nokia 3328,2017-02-11,2019-01-12,telefon
Robert Surmak,Kwiatowa 46 kraków,81326033631,799802512,89,ZTE 141,2017-04-02,2018-03-12,internet
Robert Wyszon,Kwiatowa 49 kraków,11418585660,442188261,3652,ZTE 141,2017-01-09,2018-07-12,internet+telefon
Robert Zamek,Kwiatowa 47 kraków,14565397741,616715948,3056,Nokia 3328,2017-08-08,2018-08-12,telefon
Wiktor Brudziak,Kwiatowa 39 warszawa,2242272350,460897967,5715,Nokia 3329,2016-01-09,2018-04-11,internet
Wiktor Dudziak,Kwiatowa 39 warszawa,30158031887,621389244,6264,ZTE 142,2016-10-04,2018-05-11,internet+telefon
Wiktor Hryczyński,Kwiatowa 39 warszawa,6741511835,447117233,7320,ZTE 142,2016-03-05,2019-01-13,telefon
Andrzej Jadziak,Kwiatowa 39 warszawa,16280729340,145366716,5368,Nokia 3329,2017-02-12,2018-03-13,internet
Wiktor Jobda,Kwiatowa 39 warszawa,19202414059,221883900,6470,Nokia 3330,2017-04-03,2018-07-13,internet+telefon
Wiktor Karolik,Kwiatowa 39 warszawa,94497845694,441582834,1896,ZTE 143,2017-01-10,2018-08-13,telefon
Tadeusz Komorak,Kwiatowa 41 warszawa,56143700001,677370029,7976,ZTE 143,2017-08-09,2018-04-12,internet
Tadeusz Komorna,Kwiatowa 44 warszawa,84943902703,305897782,4636,Nokia 3330,2016-01-10,2018-05-12,internet+telefon
Michał Komornicki,Kwiatowa 43 warszawa,59315903842,827670075,7219,Nokia 3331,2016-10-05,2019-01-14,telefon
Tadeusz Komorników,Kwiatowa 45 warszawa,93113477901,373120333,4283,ZTE 144,2016-03-06,2018-03-14,internet
Michał Komos,Kwiatowa 41 warszawa,85004266144,831038368,4616,ZTE 144,2017-02-13,2018-07-14,internet+telefon
Tadeusz Kowalski,Kwiatowa 41 warszawa,80138360103,607577669,5251,Nokia 3331,2017-04-04,2018-08-14,telefon
Wiktor Krupicki,Kwiatowa 40 warszawa,22306612476,334739700,848,Nokia 3332,2017-01-11,2018-04-13,internet
Wiktor Labuda,Kwiatowa 39 kraków,64588971962,195459917,6725,ZTE 145,2017-08-10,2018-05-13,internet+telefon
Wiktor Prószak,Kwiatowa 41 kraków,38590505392,386414098,6416,ZTE 145,2016-01-11,2019-01-15,telefon
Tadeusz Tomora,Kwiatowa 43 kraków,90286489323,507675406,9824,Nokia 3332,2016-10-06,2018-03-15,internet
Tadeusz Twomicki,Kwiatowa 57 kraków,62938423131,927906711,6994,Nokia 3333,2016-03-07,2018-07-15,internet+telefon
Tadeusz Womor,Kwiatowa 44 kraków,68722396697,178719778,53,ZTE 146,2017-02-14,2018-08-15,telefon
Tadeusz Zomornik,Kwiatowa 43 kraków,27324636965,243511361,8989,ZTE 146,2017-04-05,2018-04-14,internet
Zbigniew Grawik,Kwiatowa 50 warszawa,14282346343,806044757,1024,Nokia 3333,2017-01-12,2018-05-14,internet+telefon
Zbigniew Hrubek,Kwiatowa 56 warszawa,6177897247,852131987,8219,Nokia 3334,2017-08-11,2019-01-16,telefon
Zbigniew Kąkol,Kwiatowa 50 warszawa,33285301570,836576464,7178,ZTE 147,2016-01-12,2018-03-16,internet
Wiktor Suwald,Kwiatowa 39 kraków,37142619883,605661663,3695,ZTE 147,2016-10-07,2018-07-16,internet+telefon
Wiktor Zamłcki,Kwiatowa 39 kraków,50305804405,208695241,1007,Nokia 3334,2016-03-08,2018-08-16,telefon
Zbigniew Liczaba,Kwiatowa 56 kraków,16414264011,39143967,2980,Nokia 3335,2017-02-15,2018-04-15,internet
Zbigniew Mąkol,Kwiatowa 52 kraków,28277024660,627577067,1973,ZTE 148,2017-04-06,2018-05-15,internet+telefon
Zbigniew Rudak,Kwiatowa 56 kraków,77258493693,768488168,3226,ZTE 148,2017-01-13,2019-01-17,telefon
Zbigniew Sulik,Kwiatowa 54 kraków,9505687922,151947984,6113,Nokia 3335,2017-08-12,2018-03-17,internet
Zbigniew Trewirek,Kwiatowa 56 kraków,83603350651,874582184,3611,Nokia 3336,2016-01-13,2018-07-17,internet+telefon
Zbigniew Twardzioch,Kwiatowa 53 kraków,69795805502,275322962,3251,ZTE 149,2016-10-08,2018-08-17,telefon
Andrzej Twarnowski,Kwiatowa 56 kraków,70751560402,932299456,7766,ZTE 149,2016-03-09,2018-04-16,internet
Zbigniew Żeligowski,Kwiatowa 56 zakopane,22363208993,762308026,9570,Nokia 3336,2017-02-16,2018-05-16,internet+telefon
